StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q308,Q309,Q5,Q6,Q7,Q8,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,1_Q312,2_Q312,3_Q312,4_Q312,5_Q312,6_Q312,7_Q312,8_Q312,9_Q312,10_Q312,11_Q312,12_Q312,13_Q312,14_Q312,15_Q312,1_Q135,2_Q135,3_Q135,4_Q135,5_Q135,6_Q135,7_Q135,8_Q135,9_Q135,10_Q135,11_Q135,12_Q135,13_Q135,14_Q135,15_Q135,16_Q135,17_Q135,18_Q135,19_Q135,Q25,Q341,Q342,Q343,Q319,Q344,Q320,Q345,Q321,Q346,Q322,Q347,Q323,Q348,Q351,Q352,QID21,QID22,QID23,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q28_15,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q32,Q33,Q34,Q35,Q36,ID
2026/4/7 16:35,2026/4/7 16:35,0,114.163.130.27,16,9,0,,FS_4MiAfcIrN9LNIAy,,,,,,,anonymous,JA,1,1,,1,32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 16:14,2026/4/7 16:14,0,133.32.182.236,7,22,0,,FS_4JR4A3jEBtAEGnr,,,,,,,anonymous,JA,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 16:07,2026/4/7 16:07,0,104.28.99.201,16,40,0,,FS_49v3UQ0yMQQcKXV,,,,,,,anonymous,JA,1,1,,2,55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 17:11,2026/4/7 17:12,0,221.119.222.242,3,62,0,,FS_9TvOhnqwwgkCgsn,,,,,,,anonymous,JA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 17:56,2026/4/7 17:57,0,60.236.22.193,22,66,0,,FS_4CHjAznqjmgvBPo,,,,,,,anonymous,JA,1,1,,1,47,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 17:03,2026/4/7 17:06,0,182.249.78.238,100,192,1,2026/4/7 17:06,R_4Qmy5dnMzFhjMng,,,,,33.5993,130.4152,anonymous,JA,1,1,,1,37,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,4,4,4,5,7,4,6,4,6,7,4,5,5,4,3,5,4,4,4,7,4,7,4,7,5,4,5,7,7,4,7,4,7,5,150,2,72,2,11,2,120,2,30,2,30,2,5,2,10,2,1,1,2,1,1,1,2,1,1,2,1,1,4,4,3,4,3,4,3,3,3,2,2,5,4,4,4,4,4,2,5,5,3,5,,,,,,,,,,2,1,,1,,73505554
2026/4/7 16:41,2026/4/7 16:44,0,119.171.172.116,100,208,1,2026/4/7 16:44,R_9MFjyxobrec4MyQ,,,,,35.7238,139.9369,anonymous,JA,1,1,,2,28,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,7,1,7,2,3,5,7,3,8,3,9,3,8,1,4,7,1,8,5,4,7,4,8,5,7,7,8,1,4,5,1,7,5,1,300,2,72,2,6,2,150,2,29,2,40,2,6,2,20,2,2,2,1,1,1,2,2,1,1,2,1,2,5,1,2,5,3,2,1,3,6,3,2,1,3,5,3,6,1,3,6,3,2,4,,,,,,,,,,2,1,,1,,13569843
2026/4/7 16:36,2026/4/7 16:40,0,119.171.172.116,100,262,1,2026/4/7 16:40,R_9r8sqY2gELuF1Ny,,,,,35.7238,139.9369,anonymous,JA,1,1,,2,23,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,7,6,5,7,3,3,5,9,8,3,1,2,5,2,8,4,5,7,8,7,8,7,1,5,7,4,4,5,5,1,7,8,1,7,300,2,72,2,6,2,150,2,29,2,40,2,9,2,20,2,1,1,1,2,2,2,2,1,1,2,2,1,5,1,3,5,2,1,2,5,5,2,3,5,3,1,2,7,2,4,7,3,1,3,,,,,,,,,,2,1,,1,,73656767
2026/4/7 16:26,2026/4/7 16:30,0,133.32.177.166,35,264,0,,FS_4IYGHjgprG7nVDO,,,,,,,anonymous,JA,1,1,,1,34,1,1,1,2,2,1,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4/7 16:31,2026/4/7 16:35,0,182.249.78.238,100,275,1,2026/4/7 16:35,R_9FA5UbbRfqcUPT1,,,,,33.5993,130.4152,anonymous,JA,1,1,,1,30,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,3,5,4,5,4,5,3,3,4,6,5,6,3,3,7,4,4,1,7,4,7,7,7,7,7,1,4,1,5,1,7,4,7,150,1,72,1,6,2,130,2,30,2,30,2,4,2,20,2,2,1,1,2,2,2,1,1,2,2,1,2,5,3,3,3,2,4,3,5,5,5,5,3,3,4,5,5,5,5,5,6,4,3,,,,,,,,,,2,1,,1,,46122343
