StartDate,EndDate,Status,IPAddress,Progress,Duration(inseconds),Finished,RecordedDate,ResponseId,RecipientLastName,DistributionChannel,UserLanguage,Agree,CrowdWorkをオンにしているか,CrowdWorks再確認,Gender,Age,native_language,真面目に答えてくれるか,戦略_1,戦略_2,戦略_3,戦略_4,戦略_5,戦略_6,戦略_7,戦略_8,戦略_9,戦略_10,戦略_11,戦略_12,戦略_13,GCBS_1,GCBS_2,GCBS_3,GCBS_4,GCBS_5,GCBS_6,GCBS_7,GCBS_8,GCBS_9,GCBS_10,GCBS_11,GCBS_12,GCBS_13,GCBS_14,GCBS_15,PBS_1,PBS_2,PBS_3,PBS_4,PBS_5,PBS_6,PBS_7,PBS_8,PBS_9,PBS_10,PBS_11,PBS_12,PBS_13,PBS_14,PBS_15,PBS_16,PBS_17,PBS_18,PBS_19,CRT_1,初見か_1,CRT_2,初見か_2,CRT_3,初見か_3,CRT_4,初見か_4,CRT_5,初見か_5,CRT_6,初見か_6,CRT_7,初見か_7,CRT_8,初見か_8,SRS_1,SRS_2,SRS_3,SRS_4,SRS_5,SRS_6,SRS_7,SRS_8,SRS_9,SRS_10,SRS_11,SRS_12,DTI_1,DTI_2,DTI_3,DTI_4,DTI_5,DTI_6,DTI_7,DTI_8,DTI_9,DTI_10,DTI_11,DTI_12,DTI_13,DTI_14,DTI_15,AOT_1,AOT_2,AOT_3,AOT_4,AOT_5,AOT_6,AOT_7,IMC_1,IMC_2,IMC_3,IMC_4,IMC_5,IMC_6,IMC_7,IMC_8,IMC_9,similar_question,problem,answer_seriously,ID
2026/4/7 16:05,2026/4/7 16:21,0,42.125.78.99,100,921,1,2026/4/7 16:21,R_4MGCf1leIAGEDNT,,anonymous,JA,1,1,,2,31,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,3,2,3,4,2,3,3,4,2,4,5,3,3,6,2,3,2,3,3,4,4,3,4,4,4,2,3,3,3,3,3,4,4,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,4,3,3,5,1,1,4,4,3,3,4,1,4,6,5,6,2,2,3,1,,,,,,,,,,2,1,1,29712819
2026/4/7 16:06,2026/4/7 16:44,0,60.71.246.74,100,2298,1,2026/4/7 16:44,R_9ypH41mo1pgatGx,,anonymous,JA,1,1,,1,43,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,6,6,4,1,2,1,2,3,3,3,4,3,1,4,4,1,1,2,2,4,1,2,1,3,4,4,150,2,72,2,11,2,130,2,29,2,30,2,3,2,15,2,1,2,1,2,2,2,1,2,2,2,2,1,5,4,6,4,5,5,2,4,5,5,4,5,5,4,4,2,6,4,2,5,4,2,,,,,,,,,,2,1,1,96394948
2026/4/7 16:06,2026/4/7 16:27,0,106.73.103.160,100,1268,1,2026/4/7 16:27,R_4f9vw1E2UW3FvVJ,,anonymous,JA,1,1,,1,40,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,6,4,4,4,3,8,5,6,7,4,5,2,3,8,2,2,3,2,2,4,3,4,1,4,1,5,4,2,3,2,1,1,1,150,2,73,2,11,2,125,2,30,2,30,2,6,2,15,2,2,1,2,2,2,1,1,2,1,1,1,1,4,2,6,4,4,5,4,4,6,5,4,3,4,2,4,5,4,4,3,6,5,2,,,,,,,,,,2,1,1,95214003
2026/4/7 16:06,2026/4/7 16:41,0,220.153.182.43,100,2123,1,2026/4/7 16:41,R_9DnC2w1qfOnzCDb,,anonymous,JA,1,1,,1,39,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,1,4,4,2,2,1,3,5,1,1,1,1,1,1,5,1,1,1,1,4,1,2,1,4,1,1,1,150,2,72,2,11,2,124,2,29,2,30,2,4,2,15,2,2,1,1,2,2,2,1,2,1,2,1,1,4,2,6,5,2,6,3,2,6,6,3,6,4,1,5,4,6,6,1,2,4,2,,,,,,,,,,1,1,1,34946265
2026/4/7 16:06,2026/4/7 16:47,0,153.238.76.129,100,2472,1,2026/4/7 16:47,R_9fNSlmNNhEEpDqX,,anonymous,JA,1,1,,1,63,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,3,5,3,3,3,3,5,6,3,2,3,4,2,5,3,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,2,2,1,2,1,2,1,2,1,2,1,2,4,2,5,4,2,5,4,2,4,4,4,5,4,2,4,5,5,5,2,3,2,2,,,,,,,,,,2,1,1,20500439
2026/4/7 16:06,2026/4/7 16:30,0,133.32.131.8,100,1428,1,2026/4/7 16:30,R_42CVnRIkYCs2Msp,,anonymous,JA,1,1,,2,46,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,5,5,5,6,6,6,6,5,6,7,6,6,5,6,7,3,5,5,3,5,3,1,3,2,2,5,2,3,5,3,3,3,3,3,300,2,14,2,6,2,250,2,30,2,40,2,6,2,20,2,1,1,2,2,1,1,2,1,1,1,1,1,3,1,4,3,1,5,4,1,4,4,4,5,4,3,4,4,4,3,4,5,4,3,,,,,,,,,,2,1,1,26113562
2026/4/7 16:06,2026/4/7 16:29,0,60.120.66.189,100,1422,1,2026/4/7 16:29,R_4uv9Nqjw6QjQhjz,,anonymous,JA,1,1,,1,40,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,5,1,3,2,5,2,2,2,6,2,2,2,2,1,5,2,2,2,2,2,2,4,4,1,2,1,2,2,4,4,2,2,1,1,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,1,2,1,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,1,1,4,2,1,1,1,1,1,4,7,5,1,4,4,1,,,,,,,,,,2,1,1,72500974
2026/4/7 16:06,2026/4/7 16:25,0,133.106.35.63,100,1149,1,2026/4/7 16:25,R_44GVZoAayBnblsr,,anonymous,JA,1,1,,2,38,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,5,2,2,1,1,1,3,2,2,2,2,2,1,2,4,1,4,4,2,4,2,4,2,2,1,1,150,2,72,2,10,2,124,2,29,2,30,2,9,2,10,2,1,2,1,2,2,2,1,2,1,1,1,1,3,3,4,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,,,,,,,,,,2,1,1,50888373
2026/4/7 16:06,2026/4/7 16:31,0,163.131.211.130,100,1501,1,2026/4/7 16:31,R_4Fnbcnfv4Cmb6dp,,anonymous,JA,1,1,,2,50,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,4,5,4,5,5,5,5,3,6,5,5,5,3,4,6,2,2,2,2,3,1,2,4,4,2,3,2,3,2,2,1,5,1,1,300,2,14,2,48,2,120,2,30,2,240,2,6,2,20,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,4,3,2,2,3,2,5,5,3,6,2,2,5,6,5,7,4,2,3,3,,,,,,,,,,2,1,1,82719231
2026/4/7 16:06,2026/4/7 16:22,0,130.62.15.91,100,986,1,2026/4/7 16:22,R_4CO4sbVq7uIbxbK,,anonymous,JA,1,1,,1,49,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,6,6,6,1,1,3,6,1,1,1,1,1,1,5,1,1,1,1,4,1,4,1,4,1,1,1,150,2,72,2,11,2,125,2,29,2,30,2,4,2,15,2,1,2,1,2,2,2,1,2,1,2,2,2,4,3,6,4,3,5,4,3,6,5,3,6,4,3,4,3,5,7,1,2,1,1,,,,,,,,,,2,1,1,13822015
